,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,player_name
166,79,409,2018,29:13,5.76,13.94,1.56,4.59,2.35,2.87,0.48,3.11,3.59,4.09,0.81,0.15,2.16,2.38,15.43,0.413,0.339,0.819,Dennis Schroder
167,79,410,2018,17:40,2.13,5.32,1.28,3.19,0.28,0.42,0.56,2.95,3.51,0.84,0.33,0.16,0.56,1.97,5.81,0.4,0.401,0.667,Mike Scott
168,52,411,2018,11:42,1.37,2.87,0.65,1.5,0.27,0.42,0.15,2.21,2.37,0.52,0.83,0.1,0.48,0.79,3.65,0.477,0.436,0.636,Thabo Sefolosha
169,79,414,2018,22:48,3.04,7.05,2.11,5.01,0.95,1.18,0.27,1.43,1.7,1.49,0.47,0.13,0.57,1.96,9.14,0.431,0.422,0.806,Landry Shamet
170,64,415,2018,23:08,2.61,6.97,1.48,4.27,0.56,0.7,0.42,2.44,2.86,1.75,0.91,0.38,0.78,1.98,7.27,0.374,0.348,0.8,Iman Shumpert
171,81,416,2018,31:27,6.41,11.67,0.98,2.64,2.93,3.73,1.53,5.25,6.78,3.06,0.91,0.63,1.9,2.98,16.72,0.549,0.369,0.785,Pascal Siakam
172,79,417,2018,34:10,6.84,12.16,0.0,0.08,3.25,5.42,2.2,6.65,8.85,7.71,1.42,0.77,3.47,2.65,16.92,0.562,0.0,0.6,Ben Simmons
173,68,418,2018,15:39,1.96,5.15,0.41,1.53,1.06,1.43,0.4,1.46,1.85,1.88,0.43,0.22,1.0,1.31,5.38,0.38,0.269,0.742,"418    Jonathon Simmons
418                Nene
Name: name, dtype: object"
174,31,419,2018,4:31,0.9,2.03,0.32,0.94,0.29,0.52,0.1,0.32,0.42,0.42,0.03,0.0,0.35,0.29,2.42,0.444,0.345,0.562,Anfernee Simons
175,80,420,2018,27:29,2.99,7.09,1.58,4.33,1.3,1.61,0.71,2.21,2.93,4.01,1.79,0.35,1.54,2.51,8.85,0.422,0.364,0.806,Marcus Smart
176,56,422,2018,22:20,3.66,8.75,0.79,2.41,0.84,1.11,0.43,2.18,2.61,3.63,0.5,0.2,1.09,1.95,8.95,0.418,0.326,0.758,Ish Smith
177,10,425,2018,11:03,1.4,3.4,0.6,1.6,0.6,0.8,0.3,1.0,1.3,1.0,0.2,0.2,0.6,0.8,4.0,0.412,0.375,0.75,Zhaire Smith
178,74,426,2018,17:37,2.2,4.88,1.09,2.76,0.5,0.57,0.39,1.73,2.12,0.92,0.35,0.24,0.31,1.22,6.0,0.452,0.397,0.881,Tony Snell
179,33,432,2018,6:21,0.67,1.94,0.21,0.82,0.45,0.73,0.27,0.45,0.73,0.3,0.36,0.15,0.3,0.79,2.0,0.344,0.259,0.625,Edmond Sumner
180,79,434,2018,31:04,5.9,13.11,1.47,3.94,2.47,2.89,0.89,5.15,6.04,2.13,1.06,0.72,1.54,2.13,15.73,0.45,0.373,0.855,Jayson Tatum
181,75,436,2018,27:12,2.77,6.56,1.2,3.52,1.07,1.43,0.37,2.51,2.88,1.4,1.03,0.4,0.93,2.72,7.81,0.423,0.341,0.748,Garrett Temple
182,67,439,2018,13:32,2.18,3.97,0.39,1.0,0.84,1.13,1.3,2.06,3.36,1.01,0.31,0.61,0.49,2.4,5.58,0.549,0.388,0.737,Daniel Theis
183,44,441,2018,4:26,0.5,1.57,0.23,0.8,0.16,0.25,0.09,0.36,0.45,0.18,0.16,0.11,0.09,0.5,1.39,0.319,0.286,0.636,Khyri Thomas
184,78,443,2018,34:00,8.4,17.97,3.09,7.68,1.65,2.03,0.47,3.37,3.85,2.38,1.08,0.6,1.46,2.01,21.54,0.467,0.402,0.816,Klay Thompson
185,64,445,2018,4:53,0.27,0.77,0.05,0.23,0.39,0.53,0.08,0.61,0.69,0.28,0.22,0.11,0.31,0.64,0.97,0.347,0.2,0.735,Sindarius Thornwell
186,82,450,2018,34:10,2.52,6.38,1.78,4.72,0.5,0.72,1.48,4.37,5.84,1.17,1.61,0.46,0.77,3.07,7.33,0.396,0.377,0.695,PJ Tucker
187,74,451,2018,21:41,2.76,5.99,0.15,0.7,1.01,1.43,0.5,3.93,4.43,3.82,0.45,0.24,1.54,1.49,6.68,0.46,0.212,0.708,Evan Turner
188,74,452,2018,28:37,5.14,10.54,1.03,2.65,2.0,2.72,1.36,5.82,7.19,1.55,0.81,2.69,1.35,2.64,13.3,0.487,0.388,0.736,Myles Turner
189,61,453,2018,5:14,0.82,1.18,0.0,0.0,0.31,0.49,0.44,1.05,1.49,0.46,0.15,0.51,0.21,0.59,1.95,0.694,0.0,0.633,Ekpe Udoh
190,30,457,2018,2:18,0.3,0.63,0.0,0.03,0.2,0.33,0.23,0.53,0.77,0.1,0.2,0.03,0.27,0.27,0.8,0.474,0.0,0.6,Jarred Vanderbilt
191,64,458,2018,27:30,3.84,9.38,1.75,4.63,1.52,1.8,0.33,2.28,2.61,4.8,0.89,0.3,1.28,1.72,10.95,0.41,0.378,0.843,Fred VanVleet
192,80,460,2018,31:22,8.76,16.93,1.05,2.89,2.24,2.84,2.8,9.21,12.01,3.84,1.01,1.14,1.99,1.96,20.81,0.518,0.364,0.789,Nikola Vucevic
193,25,464,2018,4:42,0.64,1.84,0.2,0.52,0.32,0.4,0.0,0.68,0.68,0.36,0.28,0.08,0.16,0.28,1.8,0.348,0.385,0.8,Lonnie Walker IV
194,68,466,2018,9:13,1.35,3.19,0.06,0.28,0.44,0.84,0.29,1.19,1.49,0.63,0.31,0.1,0.53,1.22,3.21,0.424,0.211,0.526,Tyrone Wallace
195,50,468,2018,6:51,1.0,2.1,0.32,0.78,0.48,0.56,0.06,0.76,0.82,1.12,0.24,0.04,0.38,0.68,2.8,0.476,0.41,0.857,Brad Wanamaker
196,73,472,2018,35:58,8.63,20.18,1.63,5.63,4.05,6.16,1.49,9.53,11.03,10.68,1.95,0.45,4.42,3.34,22.95,0.428,0.29,0.658,Russell Westbrook
197,68,473,2018,25:24,3.82,7.99,0.71,2.09,1.4,1.81,0.51,3.12,3.63,3.87,0.99,0.69,1.43,2.13,9.75,0.479,0.338,0.772,Derrick White
198,43,476,2018,6:34,0.84,1.19,0.0,0.0,0.21,0.35,0.63,1.26,1.88,0.16,0.21,0.93,0.23,0.84,1.88,0.706,0.0,0.6,Robert Williams III
199,75,481,2018,26:34,6.45,15.19,1.4,3.89,5.65,6.45,0.53,2.43,2.96,5.35,0.75,0.15,2.41,1.07,19.96,0.425,0.36,0.876,Lou Williams
